IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
8926;184;M04;Papeleta de Tránsito;M;4;2022;4;1;4600;0
8927;96;G40;Papeleta de Tránsito Electrónica;G;7;2022;7;1;368;0
8928;118;G47;Papeleta de Tránsito;G;5;2022;5;1;368;368
8929;97;G40;Video Papeleta;G;1;2022;1;11;4048;0
8930;73;G29;Papeleta de Tránsito;G;4;2022;4;1;368;0
8931;97;G40;Video Papeleta;G;5;2022;5;1;368;0
8932;182;M02;Papeleta de Tránsito;M;9;2022;9;10;23000;4600
8933;20;G01;Papeleta de Tránsito;G;8;2022;8;11;4048;0
8934;61;G19;Papeleta de Tránsito;G;3;2022;3;1;368;0
8935;185;M05;Papeleta de Tránsito;M;3;2022;3;6;13800;0
8936;109;G43;Video Papeleta;G;7;2022;7;1;368;0
8937;61;G19;Papeleta de Tránsito;G;11;2022;11;6;2208;0
8938;183;M03;Papeleta de Tránsito;M;3;2022;3;6;13800;0
8939;44;G11;Video Papeleta;G;2;2022;2;2;736;0
8940;220;M22;Video Papeleta;M;3;2022;3;5;2760;0
8941;49;G14;Papeleta de Tránsito;G;6;2022;6;1;368;0
8942;237;M40;Papeleta de Tránsito;M;2;2022;2;7;12460;0
8943;61;G19;Papeleta de Tránsito;G;4;2022;4;2;736;0
8944;212;M20b;Papeleta Electrónica;M;9;2022;9;7;7728;0
8945;183;M03;Papeleta de Tránsito;M;4;2022;4;2;4600;0
8946;61;G19;Papeleta de Tránsito;G;1;2022;1;18;6624;736
8947;210;M20a;Papeleta Electrónica;M;9;2022;9;163;134964;828
8948;143;G57;Papeleta de Tránsito;G;4;2022;4;36;13248;736
8949;182;M02;Papeleta de Tránsito;M;1;2022;1;3;6900;0
8950;212;M20b;Papeleta Electrónica;M;6;2022;6;1;1104;0
8951;182;M02;Papeleta de Tránsito;M;2;2022;2;1;2300;2300
8952;97;G40;Video Papeleta;G;6;2022;6;8;2944;0
8953;181;M01;Papeleta de Tránsito;M;2;2022;2;1;4600;0
8954;181;M01;Papeleta de Tránsito;M;7;2022;7;1;4600;0
8955;109;G43;Video Papeleta;G;8;2022;8;4;1472;0
8956;120;G47;Video Papeleta;G;2;2022;2;1;368;0
8957;217;M21;Papeleta de Tránsito;M;4;2022;4;3;1656;0
8958;134;G54;Papeleta de Tránsito;G;4;2022;4;64;23552;0
8959;148;G59;Papeleta de Tránsito;G;4;2022;4;1;368;0
8960;210;M20a;Papeleta Electrónica;M;1;2022;1;2;1656;0
8961;177;L05;Papeleta de Tránsito;L;10;2022;10;234;43056;1104
8962;47;G13;Papeleta de Tránsito;G;5;2022;5;36;13248;736
8963;44;G11;Video Papeleta;G;2;2022;2;36;13248;0
8964;164;J01;Papeleta inf. y educativa peatonal-cicli./cond.VMP;L;3;2022;3;525;96600;0
8965;95;G40;Papeleta de Tránsito;G;2;2022;2;3;1104;0
8966;182;M02;Papeleta de Tránsito;M;3;2022;3;3;6900;0
8967;237;M40;Papeleta de Tránsito;M;1;2022;1;1;2730;0
8968;130;G51;Papeleta de Tránsito;G;8;2022;8;2;736;0
8969;44;G11;Video Papeleta;G;2;2022;2;4;1472;0
8970;212;M20b;Papeleta Electrónica;M;7;2022;7;43;47472;0
8971;183;M03;Papeleta de Tránsito;M;3;2022;3;7;16100;0
8972;44;G11;Video Papeleta;G;2;2022;2;1;368;0
